lsm_id,section_type,structure_pattern,rhythm_profile,rhyme_profile,emotional_arc,viral_trigger,platform_fit,genre_adaptability,notes
LSM-0001,hook,hook_first,short_punchy,dense_end_rhyme,rise,repeatable_phrase,tiktok_soundbite,cross_genre,classic_open_with_hook_pattern
LSM-0002,hook,ab_ab,short_punchy,light_internal,release,shout_along,both,rock_friendly,good_for_call_response_crowd_energy
LSM-0003,verse,ab_ab,long_flowing,near_rhyme,reflection,story_pull,full_song_streaming,cross_genre,used_to_build_world_and_context
LSM-0004,pre_chorus,build_drop,short_punchy,dense_end_rhyme,tension_build,anticipation_line,both,cross_genre,often_climbs_pitch_or_intensity
LSM-0005,bridge,twist_section,long_flowing,light_internal,twist,new_perspective,both,cross_genre,reset_or_flip_before_final_hook
LSM-0006,intro,hook_teaser,short_punchy,near_rhyme,rise,preview_hook_line,tiktok_soundbite,cross_genre,great_for_snippets_and_loops
LSM-0007,outro,hook_fade,short_punchy,dense_end_rhyme,release,echo_hook,both,cross_genre,loop_friendly_if_last_word_matches_first
LSM-0008,hook,chant_block,short_punchy,no_rhyme,rise,group_chant,tiktok_soundbite,cumbia_reggae_friendly,works_well_with_percussion_heavy_grooves
LSM-0009,verse,hook_first,half_time,slant_rhyme,resolve,story_pull,both,trap_pop_friendly,verse_hook_first_half_time_slant_rhyme_resolve_story_pull_both_trap_pop_friendly_pattern_9
LSM-0010,outro,aa_bb,stop_start,dense_end_rhyme,rise,shout_along,shorts_reels,indie_pop,outro_aa_bb_stop_start_dense_end_rhyme_rise_shout_along_shorts_reels_indie_pop_pattern_10
LSM-0011,outro,hook_teaser,short_punchy,slant_rhyme,victory,echo_hook,shorts_reels,country_pop,outro_hook_teaser_short_punchy_slant_rhyme_victory_echo_hook_shorts_reels_country_pop_pattern_11
LSM-0012,tag,story_loop,short_punchy,near_rhyme,confession,preview_hook_line,full_song_streaming,edm_drop_friendly,tag_story_loop_short_punchy_near_rhyme_confession_preview_hook_line_full_song_streaming_edm_drop_friendly_pattern_12
LSM-0013,chorus,riff_based,mid_tempo_bounce,light_internal,confession,shout_along,full_song_streaming,rock_friendly,chorus_riff_based_mid_tempo_bounce_light_internal_confession_shout_along_full_song_streaming_rock_friendly_pattern_13
LSM-0014,tag,story_loop,short_punchy,alt_rhyme,victory,shout_along,album_listen,trap_pop_friendly,tag_story_loop_short_punchy_alt_rhyme_victory_shout_along_album_listen_trap_pop_friendly_pattern_14
LSM-0015,outro,one_liner,double_time,slant_rhyme,tension_build,repeatable_phrase,both,indie_pop,outro_one_liner_double_time_slant_rhyme_tension_build_repeatable_phrase_both_indie_pop_pattern_15
LSM-0016,post_chorus,aa_bb,laid_back,light_internal,confession,new_perspective,album_listen,cumbia_reggae_friendly,post_chorus_aa_bb_laid_back_light_internal_confession_new_perspective_album_listen_cumbia_reggae_friendly_pattern_16
LSM-0017,hook,aaba,double_time,mixed_scheme,resolve,caption_friendly,full_song_streaming,cumbia_reggae_friendly,hook_aaba_double_time_mixed_scheme_resolve_caption_friendly_full_song_streaming_cumbia_reggae_friendly_pattern_17
LSM-0018,verse,hook_teaser,long_flowing,slant_rhyme,release,group_chant,album_listen,acoustic_ballad,verse_hook_teaser_long_flowing_slant_rhyme_release_group_chant_album_listen_acoustic_ballad_pattern_18
LSM-0019,outro,call_response,double_time,dense_end_rhyme,resolve,shock_line,tiktok_soundbite,rock_friendly,outro_call_response_double_time_dense_end_rhyme_resolve_shock_line_tiktok_soundbite_rock_friendly_pattern_19
LSM-0020,bridge,story_loop,mid_tempo_bounce,slant_rhyme,melancholy_swell,relatable_line,full_song_streaming,indie_pop,bridge_story_loop_mid_tempo_bounce_slant_rhyme_melancholy_swell_relatable_line_full_song_streaming_indie_pop_pattern_20
LSM-0021,breakdown,rise_drop,syncopated,near_rhyme,twist,story_pull,shorts_reels,reggaeton_pop,breakdown_rise_drop_syncopated_near_rhyme_twist_story_pull_shorts_reels_reggaeton_pop_pattern_21
LSM-0022,outro,story_loop,stop_start,no_rhyme,nostalgia,anticipation_line,shorts_reels,reggaeton_pop,outro_story_loop_stop_start_no_rhyme_nostalgia_anticipation_line_shorts_reels_reggaeton_pop_pattern_22
LSM-0023,breakdown,aa_bb,short_punchy,light_internal,release,caption_friendly,shorts_reels,cumbia_reggae_friendly,breakdown_aa_bb_short_punchy_light_internal_release_caption_friendly_shorts_reels_cumbia_reggae_friendly_pattern_23
LSM-0024,bridge,hook_teaser,mid_tempo_bounce,no_rhyme,confession,transition_bait,album_listen,reggaeton_pop,bridge_hook_teaser_mid_tempo_bounce_no_rhyme_confession_transition_bait_album_listen_reggaeton_pop_pattern_24
LSM-0025,post_chorus,build_drop,short_punchy,light_internal,victory,singalong_moment,full_song_streaming,cumbia_reggae_friendly,post_chorus_build_drop_short_punchy_light_internal_victory_singalong_moment_full_song_streaming_cumbia_reggae_friendly_pattern_25
LSM-0026,hook,ab_cb,half_time,no_rhyme,release,group_chant,tiktok_soundbite,acoustic_ballad,hook_ab_cb_half_time_no_rhyme_release_group_chant_tiktok_soundbite_acoustic_ballad_pattern_26
LSM-0027,outro,aaba,mid_tempo_bounce,triple_rhyme,victory,transition_bait,shorts_reels,edm_drop_friendly,outro_aaba_mid_tempo_bounce_triple_rhyme_victory_transition_bait_shorts_reels_edm_drop_friendly_pattern_27
LSM-0028,hook,aaba,short_punchy,mixed_scheme,reflection,repeatable_phrase,tiktok_soundbite,rock_friendly,hook_aaba_short_punchy_mixed_scheme_reflection_repeatable_phrase_tiktok_soundbite_rock_friendly_pattern_28
LSM-0029,post_chorus,call_response,short_punchy,slant_rhyme,melancholy_swell,shout_along,tiktok_soundbite,country_pop,post_chorus_call_response_short_punchy_slant_rhyme_melancholy_swell_shout_along_tiktok_soundbite_country_pop_pattern_29
LSM-0030,verse,build_drop,long_flowing,near_rhyme,reflection,loop_bait,shorts_reels,acoustic_ballad,verse_build_drop_long_flowing_near_rhyme_reflection_loop_bait_shorts_reels_acoustic_ballad_pattern_30
LSM-0031,outro,hook_teaser,stop_start,slant_rhyme,victory,singalong_moment,both,indie_pop,outro_hook_teaser_stop_start_slant_rhyme_victory_singalong_moment_both_indie_pop_pattern_31
LSM-0032,post_chorus,rise_drop,double_time,alt_rhyme,victory,group_chant,tiktok_soundbite,indie_pop,post_chorus_rise_drop_double_time_alt_rhyme_victory_group_chant_tiktok_soundbite_indie_pop_pattern_32
LSM-0033,chorus,aa_bb,double_time,dense_end_rhyme,melancholy_swell,loop_bait,shorts_reels,southern_rock_blues,chorus_aa_bb_double_time_dense_end_rhyme_melancholy_swell_loop_bait_shorts_reels_southern_rock_blues_pattern_33
LSM-0034,chorus,hook_first,mid_tempo_bounce,dense_end_rhyme,resolve,shout_along,tiktok_soundbite,rock_friendly,chorus_hook_first_mid_tempo_bounce_dense_end_rhyme_resolve_shout_along_tiktok_soundbite_rock_friendly_pattern_34
LSM-0035,verse,round_style,laid_back,triple_rhyme,reflection,anticipation_line,live_performance,edm_drop_friendly,verse_round_style_laid_back_triple_rhyme_reflection_anticipation_line_live_performance_edm_drop_friendly_pattern_35
LSM-0036,tag,twist_section,syncopated,slant_rhyme,reflection,singalong_moment,album_listen,indie_pop,tag_twist_section_syncopated_slant_rhyme_reflection_singalong_moment_album_listen_indie_pop_pattern_36
LSM-0037,verse,ab_cb,stop_start,mixed_scheme,confession,echo_hook,album_listen,cross_genre,verse_ab_cb_stop_start_mixed_scheme_confession_echo_hook_album_listen_cross_genre_pattern_37
LSM-0038,verse,ab_ab,stop_start,mixed_scheme,tension_build,anticipation_line,shorts_reels,indie_pop,verse_ab_ab_stop_start_mixed_scheme_tension_build_anticipation_line_shorts_reels_indie_pop_pattern_38
LSM-0039,outro,question_answer,long_flowing,no_rhyme,release,new_perspective,album_listen,indie_pop,outro_question_answer_long_flowing_no_rhyme_release_new_perspective_album_listen_indie_pop_pattern_39
LSM-0040,verse,question_answer,mid_tempo_bounce,dense_end_rhyme,victory,shock_line,tiktok_soundbite,trap_pop_friendly,verse_question_answer_mid_tempo_bounce_dense_end_rhyme_victory_shock_line_tiktok_soundbite_trap_pop_friendly_pattern_40
LSM-0041,chorus,aaba,stop_start,alt_rhyme,reflection,anticipation_line,album_listen,cross_genre,chorus_aaba_stop_start_alt_rhyme_reflection_anticipation_line_album_listen_cross_genre_pattern_41
LSM-0042,pre_chorus,rise_drop,short_punchy,no_rhyme,twist,singalong_moment,album_listen,acoustic_ballad,pre_chorus_rise_drop_short_punchy_no_rhyme_twist_singalong_moment_album_listen_acoustic_ballad_pattern_42
LSM-0043,bridge,build_drop,syncopated,near_rhyme,resolve,new_perspective,shorts_reels,cross_genre,bridge_build_drop_syncopated_near_rhyme_resolve_new_perspective_shorts_reels_cross_genre_pattern_43
LSM-0044,tag,build_drop,short_punchy,mixed_scheme,rise,repeatable_phrase,live_performance,country_pop,tag_build_drop_short_punchy_mixed_scheme_rise_repeatable_phrase_live_performance_country_pop_pattern_44
LSM-0045,outro,round_style,long_flowing,dense_end_rhyme,victory,shout_along,shorts_reels,trap_pop_friendly,outro_round_style_long_flowing_dense_end_rhyme_victory_shout_along_shorts_reels_trap_pop_friendly_pattern_45
LSM-0046,tag,aa_bb,laid_back,no_rhyme,tension_build,transition_bait,shorts_reels,southern_rock_blues,tag_aa_bb_laid_back_no_rhyme_tension_build_transition_bait_shorts_reels_southern_rock_blues_pattern_46
LSM-0047,tag,ab_ab,mid_tempo_bounce,no_rhyme,melancholy_swell,transition_bait,live_performance,rock_friendly,tag_ab_ab_mid_tempo_bounce_no_rhyme_melancholy_swell_transition_bait_live_performance_rock_friendly_pattern_47
LSM-0048,post_chorus,progressive_build,double_time,slant_rhyme,twist,echo_hook,shorts_reels,cumbia_reggae_friendly,post_chorus_progressive_build_double_time_slant_rhyme_twist_echo_hook_shorts_reels_cumbia_reggae_friendly_pattern_48
LSM-0049,post_chorus,question_answer,double_time,light_internal,rise,group_chant,live_performance,southern_rock_blues,post_chorus_question_answer_double_time_light_internal_rise_group_chant_live_performance_southern_rock_blues_pattern_49
LSM-0050,verse,aa_bb,laid_back,triple_rhyme,release,preview_hook_line,tiktok_soundbite,indie_pop,verse_aa_bb_laid_back_triple_rhyme_release_preview_hook_line_tiktok_soundbite_indie_pop_pattern_50
LSM-0051,hook,one_liner,long_flowing,alt_rhyme,victory,relatable_line,full_song_streaming,southern_rock_blues,hook_one_liner_long_flowing_alt_rhyme_victory_relatable_line_full_song_streaming_southern_rock_blues_pattern_51
LSM-0052,outro,hook_first,half_time,light_internal,release,new_perspective,tiktok_soundbite,trap_pop_friendly,outro_hook_first_half_time_light_internal_release_new_perspective_tiktok_soundbite_trap_pop_friendly_pattern_52
LSM-0053,outro,ab_ca,half_time,triple_rhyme,melancholy_swell,anticipation_line,both,rock_friendly,outro_ab_ca_half_time_triple_rhyme_melancholy_swell_anticipation_line_both_rock_friendly_pattern_53
LSM-0054,chorus,hook_fade,half_time,alt_rhyme,twist,shock_line,tiktok_soundbite,trap_pop_friendly,chorus_hook_fade_half_time_alt_rhyme_twist_shock_line_tiktok_soundbite_trap_pop_friendly_pattern_54
LSM-0055,bridge,story_loop,short_punchy,dense_end_rhyme,nostalgia,singalong_moment,shorts_reels,cumbia_reggae_friendly,bridge_story_loop_short_punchy_dense_end_rhyme_nostalgia_singalong_moment_shorts_reels_cumbia_reggae_friendly_pattern_55
LSM-0056,post_chorus,aaba,syncopated,no_rhyme,victory,repeatable_phrase,tiktok_soundbite,trap_pop_friendly,post_chorus_aaba_syncopated_no_rhyme_victory_repeatable_phrase_tiktok_soundbite_trap_pop_friendly_pattern_56
LSM-0057,pre_chorus,build_drop,short_punchy,mixed_scheme,melancholy_swell,loop_bait,shorts_reels,latin_fusion,pre_chorus_build_drop_short_punchy_mixed_scheme_melancholy_swell_loop_bait_shorts_reels_latin_fusion_pattern_57
LSM-0058,pre_chorus,ab_ab,half_time,mixed_scheme,rise,preview_hook_line,shorts_reels,cumbia_reggae_friendly,pre_chorus_ab_ab_half_time_mixed_scheme_rise_preview_hook_line_shorts_reels_cumbia_reggae_friendly_pattern_58
LSM-0059,chorus,ab_cb,double_time,no_rhyme,melancholy_swell,relatable_line,shorts_reels,indie_pop,chorus_ab_cb_double_time_no_rhyme_melancholy_swell_relatable_line_shorts_reels_indie_pop_pattern_59
LSM-0060,pre_chorus,aaba,stop_start,dense_end_rhyme,release,relatable_line,full_song_streaming,latin_fusion,pre_chorus_aaba_stop_start_dense_end_rhyme_release_relatable_line_full_song_streaming_latin_fusion_pattern_60
LSM-0061,chorus,story_loop,long_flowing,light_internal,confession,shock_line,tiktok_soundbite,country_pop,chorus_story_loop_long_flowing_light_internal_confession_shock_line_tiktok_soundbite_country_pop_pattern_61
LSM-0062,chorus,progressive_build,syncopated,mixed_scheme,twist,shock_line,shorts_reels,indie_pop,chorus_progressive_build_syncopated_mixed_scheme_twist_shock_line_shorts_reels_indie_pop_pattern_62
LSM-0063,intro,progressive_build,stop_start,mixed_scheme,twist,shock_line,tiktok_soundbite,acoustic_ballad,intro_progressive_build_stop_start_mixed_scheme_twist_shock_line_tiktok_soundbite_acoustic_ballad_pattern_63
LSM-0064,hook,hook_fade,stop_start,mixed_scheme,rise,shout_along,full_song_streaming,edm_drop_friendly,hook_hook_fade_stop_start_mixed_scheme_rise_shout_along_full_song_streaming_edm_drop_friendly_pattern_64
LSM-0065,tag,story_loop,short_punchy,light_internal,melancholy_swell,echo_hook,full_song_streaming,rock_friendly,tag_story_loop_short_punchy_light_internal_melancholy_swell_echo_hook_full_song_streaming_rock_friendly_pattern_65
LSM-0066,bridge,hook_teaser,mid_tempo_bounce,no_rhyme,melancholy_swell,anticipation_line,full_song_streaming,cross_genre,bridge_hook_teaser_mid_tempo_bounce_no_rhyme_melancholy_swell_anticipation_line_full_song_streaming_cross_genre_pattern_66
LSM-0067,bridge,hook_first,laid_back,mixed_scheme,confession,shout_along,both,rock_friendly,bridge_hook_first_laid_back_mixed_scheme_confession_shout_along_both_rock_friendly_pattern_67
LSM-0068,tag,riff_based,mid_tempo_bounce,triple_rhyme,victory,new_perspective,both,latin_fusion,tag_riff_based_mid_tempo_bounce_triple_rhyme_victory_new_perspective_both_latin_fusion_pattern_68
LSM-0069,hook,rise_drop,half_time,near_rhyme,resolve,echo_hook,both,latin_fusion,hook_rise_drop_half_time_near_rhyme_resolve_echo_hook_both_latin_fusion_pattern_69
LSM-0070,pre_chorus,hook_teaser,half_time,no_rhyme,victory,shock_line,tiktok_soundbite,acoustic_ballad,pre_chorus_hook_teaser_half_time_no_rhyme_victory_shock_line_tiktok_soundbite_acoustic_ballad_pattern_70
LSM-0071,post_chorus,progressive_build,stop_start,mixed_scheme,reflection,group_chant,album_listen,cumbia_reggae_friendly,post_chorus_progressive_build_stop_start_mixed_scheme_reflection_group_chant_album_listen_cumbia_reggae_friendly_pattern_71
LSM-0072,chorus,round_style,syncopated,near_rhyme,tension_build,new_perspective,live_performance,cumbia_reggae_friendly,chorus_round_style_syncopated_near_rhyme_tension_build_new_perspective_live_performance_cumbia_reggae_friendly_pattern_72
LSM-0073,tag,riff_based,mid_tempo_bounce,slant_rhyme,twist,anticipation_line,shorts_reels,edm_drop_friendly,tag_riff_based_mid_tempo_bounce_slant_rhyme_twist_anticipation_line_shorts_reels_edm_drop_friendly_pattern_73
LSM-0074,intro,ab_ab,laid_back,alt_rhyme,melancholy_swell,shock_line,tiktok_soundbite,country_pop,intro_ab_ab_laid_back_alt_rhyme_melancholy_swell_shock_line_tiktok_soundbite_country_pop_pattern_74
LSM-0075,bridge,hook_fade,laid_back,no_rhyme,reflection,echo_hook,shorts_reels,edm_drop_friendly,bridge_hook_fade_laid_back_no_rhyme_reflection_echo_hook_shorts_reels_edm_drop_friendly_pattern_75
LSM-0076,intro,ab_cb,stop_start,slant_rhyme,release,singalong_moment,both,reggaeton_pop,intro_ab_cb_stop_start_slant_rhyme_release_singalong_moment_both_reggaeton_pop_pattern_76
LSM-0077,breakdown,ab_ab,laid_back,light_internal,reflection,story_pull,album_listen,cumbia_reggae_friendly,breakdown_ab_ab_laid_back_light_internal_reflection_story_pull_album_listen_cumbia_reggae_friendly_pattern_77
LSM-0078,outro,build_drop,double_time,alt_rhyme,melancholy_swell,shock_line,both,reggaeton_pop,outro_build_drop_double_time_alt_rhyme_melancholy_swell_shock_line_both_reggaeton_pop_pattern_78
LSM-0079,bridge,build_drop,syncopated,near_rhyme,reflection,group_chant,full_song_streaming,indie_pop,bridge_build_drop_syncopated_near_rhyme_reflection_group_chant_full_song_streaming_indie_pop_pattern_79
LSM-0080,post_chorus,round_style,syncopated,slant_rhyme,twist,group_chant,tiktok_soundbite,acoustic_ballad,post_chorus_round_style_syncopated_slant_rhyme_twist_group_chant_tiktok_soundbite_acoustic_ballad_pattern_80
LSM-0081,chorus,story_loop,double_time,mixed_scheme,victory,shout_along,shorts_reels,edm_drop_friendly,chorus_story_loop_double_time_mixed_scheme_victory_shout_along_shorts_reels_edm_drop_friendly_pattern_81
LSM-0082,chorus,rise_drop,long_flowing,slant_rhyme,tension_build,echo_hook,album_listen,rock_friendly,chorus_rise_drop_long_flowing_slant_rhyme_tension_build_echo_hook_album_listen_rock_friendly_pattern_82
LSM-0083,outro,question_answer,stop_start,dense_end_rhyme,resolve,shock_line,album_listen,latin_fusion,outro_question_answer_stop_start_dense_end_rhyme_resolve_shock_line_album_listen_latin_fusion_pattern_83
LSM-0084,tag,hook_first,stop_start,alt_rhyme,rise,preview_hook_line,full_song_streaming,latin_fusion,tag_hook_first_stop_start_alt_rhyme_rise_preview_hook_line_full_song_streaming_latin_fusion_pattern_84
LSM-0085,bridge,build_drop,laid_back,alt_rhyme,resolve,new_perspective,album_listen,country_pop,bridge_build_drop_laid_back_alt_rhyme_resolve_new_perspective_album_listen_country_pop_pattern_85
LSM-0086,intro,rise_drop,double_time,no_rhyme,release,shock_line,album_listen,edm_drop_friendly,intro_rise_drop_double_time_no_rhyme_release_shock_line_album_listen_edm_drop_friendly_pattern_86
LSM-0087,tag,build_drop,short_punchy,no_rhyme,melancholy_swell,transition_bait,both,cross_genre,tag_build_drop_short_punchy_no_rhyme_melancholy_swell_transition_bait_both_cross_genre_pattern_87
LSM-0088,verse,hook_fade,stop_start,near_rhyme,reflection,story_pull,tiktok_soundbite,acoustic_ballad,verse_hook_fade_stop_start_near_rhyme_reflection_story_pull_tiktok_soundbite_acoustic_ballad_pattern_88
LSM-0089,bridge,riff_based,laid_back,alt_rhyme,nostalgia,preview_hook_line,album_listen,acoustic_ballad,bridge_riff_based_laid_back_alt_rhyme_nostalgia_preview_hook_line_album_listen_acoustic_ballad_pattern_89
LSM-0090,bridge,story_loop,mid_tempo_bounce,alt_rhyme,rise,relatable_line,live_performance,cross_genre,bridge_story_loop_mid_tempo_bounce_alt_rhyme_rise_relatable_line_live_performance_cross_genre_pattern_90
LSM-0091,hook,call_response,mid_tempo_bounce,dense_end_rhyme,rise,anticipation_line,shorts_reels,cross_genre,hook_call_response_mid_tempo_bounce_dense_end_rhyme_rise_anticipation_line_shorts_reels_cross_genre_pattern_91
LSM-0092,tag,ab_ca,laid_back,near_rhyme,reflection,caption_friendly,tiktok_soundbite,southern_rock_blues,tag_ab_ca_laid_back_near_rhyme_reflection_caption_friendly_tiktok_soundbite_southern_rock_blues_pattern_92
LSM-0093,chorus,question_answer,half_time,mixed_scheme,release,transition_bait,live_performance,trap_pop_friendly,chorus_question_answer_half_time_mixed_scheme_release_transition_bait_live_performance_trap_pop_friendly_pattern_93
LSM-0094,pre_chorus,one_liner,mid_tempo_bounce,dense_end_rhyme,twist,transition_bait,both,latin_fusion,pre_chorus_one_liner_mid_tempo_bounce_dense_end_rhyme_twist_transition_bait_both_latin_fusion_pattern_94
LSM-0095,bridge,progressive_build,mid_tempo_bounce,slant_rhyme,tension_build,relatable_line,full_song_streaming,cumbia_reggae_friendly,bridge_progressive_build_mid_tempo_bounce_slant_rhyme_tension_build_relatable_line_full_song_streaming_cumbia_reggae_friendly_pattern_95
LSM-0096,tag,ab_cb,short_punchy,mixed_scheme,victory,echo_hook,both,rock_friendly,tag_ab_cb_short_punchy_mixed_scheme_victory_echo_hook_both_rock_friendly_pattern_96
LSM-0097,verse,round_style,double_time,dense_end_rhyme,confession,shock_line,album_listen,trap_pop_friendly,verse_round_style_double_time_dense_end_rhyme_confession_shock_line_album_listen_trap_pop_friendly_pattern_97
LSM-0098,bridge,melodic_run,syncopated,near_rhyme,confession,story_pull,both,reggaeton_pop,bridge_melodic_run_syncopated_near_rhyme_confession_story_pull_both_reggaeton_pop_pattern_98
LSM-0099,post_chorus,hook_teaser,syncopated,alt_rhyme,confession,shock_line,both,southern_rock_blues,post_chorus_hook_teaser_syncopated_alt_rhyme_confession_shock_line_both_southern_rock_blues_pattern_99
LSM-0100,post_chorus,riff_based,laid_back,light_internal,twist,group_chant,shorts_reels,country_pop,post_chorus_riff_based_laid_back_light_internal_twist_group_chant_shorts_reels_country_pop_pattern_100
LSM-0101,tag,hook_teaser,stop_start,mixed_scheme,rise,group_chant,full_song_streaming,edm_drop_friendly,tag_hook_teaser_stop_start_mixed_scheme_rise_group_chant_full_song_streaming_edm_drop_friendly_pattern_101
LSM-0102,breakdown,progressive_build,double_time,triple_rhyme,nostalgia,new_perspective,live_performance,acoustic_ballad,breakdown_progressive_build_double_time_triple_rhyme_nostalgia_new_perspective_live_performance_acoustic_ballad_pattern_102
