vpr_id,criterion,criterion_description,weight_level,platform_focus,low_score_signature,high_score_signature,red_flag_if_missing,uplift_strategies,notes
VPR-0001,hook_clarity,how_easy_it_is_to_understand_the_main_idea,critical,both,listener_cannot_tell_what_song_is_about,one_line_summaries_song_feel,forgettable_clip,shorten_hook_phrase_and_remove_extra_images,aim_for_one_clear_image_or_statement
VPR-0002,replay_value,how_much_people_want_to_hear_it_again,high,tiktok,no_specific_moment_worth_repeating,obvious_line_or_sound_to_replay,scrolled_past,add_surprising_word_or_rhythm_and_emphasize_it,loop_friendly_structure_helps
VPR-0003,emotional_punch,intensity_of_feeling_delivered_in_short_time,high,both,emotion_feels_flat_or_generic,clear_feeling_hit_in_one_or_two_lines,no_share_motive,sharpen_emotional_angle_and_cut_filler,focus_on_one_specific_situation
VPR-0004,meme_potential,how_easily_it_can_be_used_in_different_contexts,medium,tiktok,too_specific_to_single_story,relatable_line_fitting_many_scenarios,limited_spread_beyond_niche,broaden_language_and_remove_true_names,use_open_ended_phrases
VPR-0005,originality,how_distinct_it_feels_from_existing_trends,high,both,feels_like_copy_of_recent_viral_clip,recognizable_but_fresh_take_on_pattern,viewer_calls_it_ripoff,change_imagery_rhythm_or_structure,lean_into_uncommon_combination
VPR-0006,singability,how_easy_it_is_to_sing_orchant_along,medium,both,awkward_wording_or_pacing,comfortable_syllable_flow,low_audience_participation,simplify_syllable_count_and_rhythm,align_stresses_with_beat
VPR-0007,loop_seam,how_cleanly_clip_can_loop_without_jarring_end,medium,tiktok,noticeable_cut_ordead_space,clip_feels_like_infinite_circle,clip_feels_one_time_only,adjust_start_and_end_so_first_and_last_beat_match,write_hook_line_that_wraps_around
VPR-0008,trend_alignment,how_well_it_sits_near_current_trends_without_copying,medium,tiktok,completely_disconnected_from_current_vibes,recognizable_family_but_twisted_to_own_thing,harder_to_get_initial_pickup,borrow_one_element_from_trend_andchange_rest,watch_for_overuse_of_any_single_trope
VPR-0009,verse_clarity,verse_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_verse_clarity,strong_and_clear_verse_clarity,verse_clarity_not_obvious_in_clip,refine_verse_execution_and_boost_clarity,auto_generated_verse_clarity_metric
VPR-0010,verse_impact,verse_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_verse_impact,strong_and_clear_verse_impact,verse_impact_not_obvious_in_clip,refine_verse_execution_and_boost_impact,auto_generated_verse_impact_metric
VPR-0011,verse_memorability,verse_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_verse_memorability,strong_and_clear_verse_memorability,verse_memorability_not_obvious_in_clip,refine_verse_execution_and_boost_memorability,auto_generated_verse_memorability_metric
VPR-0012,verse_originality,verse_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_verse_originality,strong_and_clear_verse_originality,verse_originality_not_obvious_in_clip,refine_verse_execution_and_boost_originality,auto_generated_verse_originality_metric
VPR-0013,chorus_clarity,chorus_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_chorus_clarity,strong_and_clear_chorus_clarity,chorus_clarity_not_obvious_in_clip,refine_chorus_execution_and_boost_clarity,auto_generated_chorus_clarity_metric
VPR-0014,chorus_impact,chorus_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_chorus_impact,strong_and_clear_chorus_impact,chorus_impact_not_obvious_in_clip,refine_chorus_execution_and_boost_impact,auto_generated_chorus_impact_metric
VPR-0015,chorus_memorability,chorus_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_chorus_memorability,strong_and_clear_chorus_memorability,chorus_memorability_not_obvious_in_clip,refine_chorus_execution_and_boost_memorability,auto_generated_chorus_memorability_metric
VPR-0016,chorus_originality,chorus_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_chorus_originality,strong_and_clear_chorus_originality,chorus_originality_not_obvious_in_clip,refine_chorus_execution_and_boost_originality,auto_generated_chorus_originality_metric
VPR-0017,intro_clarity,intro_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_intro_clarity,strong_and_clear_intro_clarity,intro_clarity_not_obvious_in_clip,refine_intro_execution_and_boost_clarity,auto_generated_intro_clarity_metric
VPR-0018,intro_impact,intro_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_intro_impact,strong_and_clear_intro_impact,intro_impact_not_obvious_in_clip,refine_intro_execution_and_boost_impact,auto_generated_intro_impact_metric
VPR-0019,intro_memorability,intro_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_intro_memorability,strong_and_clear_intro_memorability,intro_memorability_not_obvious_in_clip,refine_intro_execution_and_boost_memorability,auto_generated_intro_memorability_metric
VPR-0020,intro_originality,intro_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_intro_originality,strong_and_clear_intro_originality,intro_originality_not_obvious_in_clip,refine_intro_execution_and_boost_originality,auto_generated_intro_originality_metric
VPR-0021,outro_clarity,outro_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_outro_clarity,strong_and_clear_outro_clarity,outro_clarity_not_obvious_in_clip,refine_outro_execution_and_boost_clarity,auto_generated_outro_clarity_metric
VPR-0022,outro_impact,outro_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_outro_impact,strong_and_clear_outro_impact,outro_impact_not_obvious_in_clip,refine_outro_execution_and_boost_impact,auto_generated_outro_impact_metric
VPR-0023,outro_memorability,outro_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_outro_memorability,strong_and_clear_outro_memorability,outro_memorability_not_obvious_in_clip,refine_outro_execution_and_boost_memorability,auto_generated_outro_memorability_metric
VPR-0024,outro_originality,outro_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_outro_originality,strong_and_clear_outro_originality,outro_originality_not_obvious_in_clip,refine_outro_execution_and_boost_originality,auto_generated_outro_originality_metric
VPR-0025,bridge_clarity,bridge_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_bridge_clarity,strong_and_clear_bridge_clarity,bridge_clarity_not_obvious_in_clip,refine_bridge_execution_and_boost_clarity,auto_generated_bridge_clarity_metric
VPR-0026,bridge_impact,bridge_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_bridge_impact,strong_and_clear_bridge_impact,bridge_impact_not_obvious_in_clip,refine_bridge_execution_and_boost_impact,auto_generated_bridge_impact_metric
VPR-0027,bridge_memorability,bridge_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_bridge_memorability,strong_and_clear_bridge_memorability,bridge_memorability_not_obvious_in_clip,refine_bridge_execution_and_boost_memorability,auto_generated_bridge_memorability_metric
VPR-0028,bridge_originality,bridge_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_bridge_originality,strong_and_clear_bridge_originality,bridge_originality_not_obvious_in_clip,refine_bridge_execution_and_boost_originality,auto_generated_bridge_originality_metric
VPR-0029,drop_clarity,drop_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_drop_clarity,strong_and_clear_drop_clarity,drop_clarity_not_obvious_in_clip,refine_drop_execution_and_boost_clarity,auto_generated_drop_clarity_metric
VPR-0030,drop_impact,drop_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_drop_impact,strong_and_clear_drop_impact,drop_impact_not_obvious_in_clip,refine_drop_execution_and_boost_impact,auto_generated_drop_impact_metric
VPR-0031,drop_memorability,drop_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_drop_memorability,strong_and_clear_drop_memorability,drop_memorability_not_obvious_in_clip,refine_drop_execution_and_boost_memorability,auto_generated_drop_memorability_metric
VPR-0032,drop_originality,drop_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_drop_originality,strong_and_clear_drop_originality,drop_originality_not_obvious_in_clip,refine_drop_execution_and_boost_originality,auto_generated_drop_originality_metric
VPR-0033,pre_chorus_clarity,pre_chorus_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_pre_chorus_clarity,strong_and_clear_pre_chorus_clarity,pre_chorus_clarity_not_obvious_in_clip,refine_pre_chorus_execution_and_boost_clarity,auto_generated_pre_chorus_clarity_metric
VPR-0034,pre_chorus_impact,pre_chorus_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_pre_chorus_impact,strong_and_clear_pre_chorus_impact,pre_chorus_impact_not_obvious_in_clip,refine_pre_chorus_execution_and_boost_impact,auto_generated_pre_chorus_impact_metric
VPR-0035,pre_chorus_memorability,pre_chorus_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_pre_chorus_memorability,strong_and_clear_pre_chorus_memorability,pre_chorus_memorability_not_obvious_in_clip,refine_pre_chorus_execution_and_boost_memorability,auto_generated_pre_chorus_memorability_metric
VPR-0036,pre_chorus_originality,pre_chorus_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_pre_chorus_originality,strong_and_clear_pre_chorus_originality,pre_chorus_originality_not_obvious_in_clip,refine_pre_chorus_execution_and_boost_originality,auto_generated_pre_chorus_originality_metric
VPR-0037,post_chorus_clarity,post_chorus_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_post_chorus_clarity,strong_and_clear_post_chorus_clarity,post_chorus_clarity_not_obvious_in_clip,refine_post_chorus_execution_and_boost_clarity,auto_generated_post_chorus_clarity_metric
VPR-0038,post_chorus_impact,post_chorus_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_post_chorus_impact,strong_and_clear_post_chorus_impact,post_chorus_impact_not_obvious_in_clip,refine_post_chorus_execution_and_boost_impact,auto_generated_post_chorus_impact_metric
VPR-0039,post_chorus_memorability,post_chorus_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_post_chorus_memorability,strong_and_clear_post_chorus_memorability,post_chorus_memorability_not_obvious_in_clip,refine_post_chorus_execution_and_boost_memorability,auto_generated_post_chorus_memorability_metric
VPR-0040,post_chorus_originality,post_chorus_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_post_chorus_originality,strong_and_clear_post_chorus_originality,post_chorus_originality_not_obvious_in_clip,refine_post_chorus_execution_and_boost_originality,auto_generated_post_chorus_originality_metric
VPR-0041,adlib_clarity,adlib_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_adlib_clarity,strong_and_clear_adlib_clarity,adlib_clarity_not_obvious_in_clip,refine_adlib_execution_and_boost_clarity,auto_generated_adlib_clarity_metric
VPR-0042,adlib_impact,adlib_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_adlib_impact,strong_and_clear_adlib_impact,adlib_impact_not_obvious_in_clip,refine_adlib_execution_and_boost_impact,auto_generated_adlib_impact_metric
VPR-0043,adlib_memorability,adlib_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_adlib_memorability,strong_and_clear_adlib_memorability,adlib_memorability_not_obvious_in_clip,refine_adlib_execution_and_boost_memorability,auto_generated_adlib_memorability_metric
VPR-0044,adlib_originality,adlib_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_adlib_originality,strong_and_clear_adlib_originality,adlib_originality_not_obvious_in_clip,refine_adlib_execution_and_boost_originality,auto_generated_adlib_originality_metric
VPR-0045,breakdown_clarity,breakdown_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_breakdown_clarity,strong_and_clear_breakdown_clarity,breakdown_clarity_not_obvious_in_clip,refine_breakdown_execution_and_boost_clarity,auto_generated_breakdown_clarity_metric
VPR-0046,breakdown_impact,breakdown_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_breakdown_impact,strong_and_clear_breakdown_impact,breakdown_impact_not_obvious_in_clip,refine_breakdown_execution_and_boost_impact,auto_generated_breakdown_impact_metric
VPR-0047,breakdown_memorability,breakdown_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_breakdown_memorability,strong_and_clear_breakdown_memorability,breakdown_memorability_not_obvious_in_clip,refine_breakdown_execution_and_boost_memorability,auto_generated_breakdown_memorability_metric
VPR-0048,breakdown_originality,breakdown_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_breakdown_originality,strong_and_clear_breakdown_originality,breakdown_originality_not_obvious_in_clip,refine_breakdown_execution_and_boost_originality,auto_generated_breakdown_originality_metric
VPR-0049,build_up_clarity,build_up_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_build_up_clarity,strong_and_clear_build_up_clarity,build_up_clarity_not_obvious_in_clip,refine_build_up_execution_and_boost_clarity,auto_generated_build_up_clarity_metric
VPR-0050,build_up_impact,build_up_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_build_up_impact,strong_and_clear_build_up_impact,build_up_impact_not_obvious_in_clip,refine_build_up_execution_and_boost_impact,auto_generated_build_up_impact_metric
VPR-0051,build_up_memorability,build_up_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_build_up_memorability,strong_and_clear_build_up_memorability,build_up_memorability_not_obvious_in_clip,refine_build_up_execution_and_boost_memorability,auto_generated_build_up_memorability_metric
VPR-0052,build_up_originality,build_up_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_build_up_originality,strong_and_clear_build_up_originality,build_up_originality_not_obvious_in_clip,refine_build_up_execution_and_boost_originality,auto_generated_build_up_originality_metric
VPR-0053,beat_clarity,beat_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_beat_clarity,strong_and_clear_beat_clarity,beat_clarity_not_obvious_in_clip,adjust_beat_and_boost_clarity,auto_generated_beat_clarity_metric
VPR-0054,beat_impact,beat_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_beat_impact,strong_and_clear_beat_impact,beat_impact_not_obvious_in_clip,adjust_beat_and_boost_impact,auto_generated_beat_impact_metric
VPR-0055,beat_memorability,beat_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_beat_memorability,strong_and_clear_beat_memorability,beat_memorability_not_obvious_in_clip,adjust_beat_and_boost_memorability,auto_generated_beat_memorability_metric
VPR-0056,beat_originality,beat_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_beat_originality,strong_and_clear_beat_originality,beat_originality_not_obvious_in_clip,adjust_beat_and_boost_originality,auto_generated_beat_originality_metric
VPR-0057,rhythm_clarity,rhythm_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_rhythm_clarity,strong_and_clear_rhythm_clarity,rhythm_clarity_not_obvious_in_clip,adjust_rhythm_and_boost_clarity,auto_generated_rhythm_clarity_metric
VPR-0058,rhythm_impact,rhythm_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_rhythm_impact,strong_and_clear_rhythm_impact,rhythm_impact_not_obvious_in_clip,adjust_rhythm_and_boost_impact,auto_generated_rhythm_impact_metric
VPR-0059,rhythm_memorability,rhythm_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_rhythm_memorability,strong_and_clear_rhythm_memorability,rhythm_memorability_not_obvious_in_clip,adjust_rhythm_and_boost_memorability,auto_generated_rhythm_memorability_metric
VPR-0060,rhythm_originality,rhythm_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_rhythm_originality,strong_and_clear_rhythm_originality,rhythm_originality_not_obvious_in_clip,adjust_rhythm_and_boost_originality,auto_generated_rhythm_originality_metric
VPR-0061,melody_clarity,melody_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_melody_clarity,strong_and_clear_melody_clarity,melody_clarity_not_obvious_in_clip,adjust_melody_and_boost_clarity,auto_generated_melody_clarity_metric
VPR-0062,melody_impact,melody_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_melody_impact,strong_and_clear_melody_impact,melody_impact_not_obvious_in_clip,adjust_melody_and_boost_impact,auto_generated_melody_impact_metric
VPR-0063,melody_memorability,melody_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_melody_memorability,strong_and_clear_melody_memorability,melody_memorability_not_obvious_in_clip,adjust_melody_and_boost_memorability,auto_generated_melody_memorability_metric
VPR-0064,melody_originality,melody_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_melody_originality,strong_and_clear_melody_originality,melody_originality_not_obvious_in_clip,adjust_melody_and_boost_originality,auto_generated_melody_originality_metric
VPR-0065,lyrics_clarity,lyrics_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_lyrics_clarity,strong_and_clear_lyrics_clarity,lyrics_clarity_not_obvious_in_clip,adjust_lyrics_and_boost_clarity,auto_generated_lyrics_clarity_metric
VPR-0066,lyrics_impact,lyrics_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_lyrics_impact,strong_and_clear_lyrics_impact,lyrics_impact_not_obvious_in_clip,adjust_lyrics_and_boost_impact,auto_generated_lyrics_impact_metric
VPR-0067,lyrics_memorability,lyrics_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_lyrics_memorability,strong_and_clear_lyrics_memorability,lyrics_memorability_not_obvious_in_clip,adjust_lyrics_and_boost_memorability,auto_generated_lyrics_memorability_metric
VPR-0068,lyrics_originality,lyrics_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_lyrics_originality,strong_and_clear_lyrics_originality,lyrics_originality_not_obvious_in_clip,adjust_lyrics_and_boost_originality,auto_generated_lyrics_originality_metric
VPR-0069,vocal_clarity,vocal_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_vocal_clarity,strong_and_clear_vocal_clarity,vocal_clarity_not_obvious_in_clip,adjust_vocal_and_boost_clarity,auto_generated_vocal_clarity_metric
VPR-0070,vocal_impact,vocal_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_vocal_impact,strong_and_clear_vocal_impact,vocal_impact_not_obvious_in_clip,adjust_vocal_and_boost_impact,auto_generated_vocal_impact_metric
VPR-0071,vocal_memorability,vocal_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_vocal_memorability,strong_and_clear_vocal_memorability,vocal_memorability_not_obvious_in_clip,adjust_vocal_and_boost_memorability,auto_generated_vocal_memorability_metric
VPR-0072,vocal_originality,vocal_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_vocal_originality,strong_and_clear_vocal_originality,vocal_originality_not_obvious_in_clip,adjust_vocal_and_boost_originality,auto_generated_vocal_originality_metric
VPR-0073,bass_clarity,bass_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_bass_clarity,strong_and_clear_bass_clarity,bass_clarity_not_obvious_in_clip,adjust_bass_and_boost_clarity,auto_generated_bass_clarity_metric
VPR-0074,bass_impact,bass_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_bass_impact,strong_and_clear_bass_impact,bass_impact_not_obvious_in_clip,adjust_bass_and_boost_impact,auto_generated_bass_impact_metric
VPR-0075,bass_memorability,bass_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_bass_memorability,strong_and_clear_bass_memorability,bass_memorability_not_obvious_in_clip,adjust_bass_and_boost_memorability,auto_generated_bass_memorability_metric
VPR-0076,bass_originality,bass_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_bass_originality,strong_and_clear_bass_originality,bass_originality_not_obvious_in_clip,adjust_bass_and_boost_originality,auto_generated_bass_originality_metric
VPR-0077,drums_clarity,drums_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_drums_clarity,strong_and_clear_drums_clarity,drums_clarity_not_obvious_in_clip,adjust_drums_and_boost_clarity,auto_generated_drums_clarity_metric
VPR-0078,drums_impact,drums_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_drums_impact,strong_and_clear_drums_impact,drums_impact_not_obvious_in_clip,adjust_drums_and_boost_impact,auto_generated_drums_impact_metric
VPR-0079,drums_memorability,drums_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_drums_memorability,strong_and_clear_drums_memorability,drums_memorability_not_obvious_in_clip,adjust_drums_and_boost_memorability,auto_generated_drums_memorability_metric
VPR-0080,drums_originality,drums_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_drums_originality,strong_and_clear_drums_originality,drums_originality_not_obvious_in_clip,adjust_drums_and_boost_originality,auto_generated_drums_originality_metric
VPR-0081,guitar_clarity,guitar_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_guitar_clarity,strong_and_clear_guitar_clarity,guitar_clarity_not_obvious_in_clip,adjust_guitar_and_boost_clarity,auto_generated_guitar_clarity_metric
VPR-0082,guitar_impact,guitar_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_guitar_impact,strong_and_clear_guitar_impact,guitar_impact_not_obvious_in_clip,adjust_guitar_and_boost_impact,auto_generated_guitar_impact_metric
VPR-0083,guitar_memorability,guitar_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_guitar_memorability,strong_and_clear_guitar_memorability,guitar_memorability_not_obvious_in_clip,adjust_guitar_and_boost_memorability,auto_generated_guitar_memorability_metric
VPR-0084,guitar_originality,guitar_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_guitar_originality,strong_and_clear_guitar_originality,guitar_originality_not_obvious_in_clip,adjust_guitar_and_boost_originality,auto_generated_guitar_originality_metric
VPR-0085,synth_clarity,synth_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_synth_clarity,strong_and_clear_synth_clarity,synth_clarity_not_obvious_in_clip,adjust_synth_and_boost_clarity,auto_generated_synth_clarity_metric
VPR-0086,synth_impact,synth_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_synth_impact,strong_and_clear_synth_impact,synth_impact_not_obvious_in_clip,adjust_synth_and_boost_impact,auto_generated_synth_impact_metric
VPR-0087,synth_memorability,synth_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_synth_memorability,strong_and_clear_synth_memorability,synth_memorability_not_obvious_in_clip,adjust_synth_and_boost_memorability,auto_generated_synth_memorability_metric
VPR-0088,synth_originality,synth_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_synth_originality,strong_and_clear_synth_originality,synth_originality_not_obvious_in_clip,adjust_synth_and_boost_originality,auto_generated_synth_originality_metric
VPR-0089,piano_clarity,piano_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_piano_clarity,strong_and_clear_piano_clarity,piano_clarity_not_obvious_in_clip,adjust_piano_and_boost_clarity,auto_generated_piano_clarity_metric
VPR-0090,piano_impact,piano_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_piano_impact,strong_and_clear_piano_impact,piano_impact_not_obvious_in_clip,adjust_piano_and_boost_impact,auto_generated_piano_impact_metric
VPR-0091,piano_memorability,piano_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_piano_memorability,strong_and_clear_piano_memorability,piano_memorability_not_obvious_in_clip,adjust_piano_and_boost_memorability,auto_generated_piano_memorability_metric
VPR-0092,piano_originality,piano_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_piano_originality,strong_and_clear_piano_originality,piano_originality_not_obvious_in_clip,adjust_piano_and_boost_originality,auto_generated_piano_originality_metric
VPR-0093,strings_clarity,strings_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_strings_clarity,strong_and_clear_strings_clarity,strings_clarity_not_obvious_in_clip,adjust_strings_and_boost_clarity,auto_generated_strings_clarity_metric
VPR-0094,strings_impact,strings_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_strings_impact,strong_and_clear_strings_impact,strings_impact_not_obvious_in_clip,adjust_strings_and_boost_impact,auto_generated_strings_impact_metric
VPR-0095,strings_memorability,strings_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_strings_memorability,strong_and_clear_strings_memorability,strings_memorability_not_obvious_in_clip,adjust_strings_and_boost_memorability,auto_generated_strings_memorability_metric
VPR-0096,strings_originality,strings_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_strings_originality,strong_and_clear_strings_originality,strings_originality_not_obvious_in_clip,adjust_strings_and_boost_originality,auto_generated_strings_originality_metric
VPR-0097,brass_clarity,brass_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_brass_clarity,strong_and_clear_brass_clarity,brass_clarity_not_obvious_in_clip,adjust_brass_and_boost_clarity,auto_generated_brass_clarity_metric
VPR-0098,brass_impact,brass_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_brass_impact,strong_and_clear_brass_impact,brass_impact_not_obvious_in_clip,adjust_brass_and_boost_impact,auto_generated_brass_impact_metric
VPR-0099,brass_memorability,brass_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_brass_memorability,strong_and_clear_brass_memorability,brass_memorability_not_obvious_in_clip,adjust_brass_and_boost_memorability,auto_generated_brass_memorability_metric
VPR-0100,brass_originality,brass_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_brass_originality,strong_and_clear_brass_originality,brass_originality_not_obvious_in_clip,adjust_brass_and_boost_originality,auto_generated_brass_originality_metric
VPR-0101,fx_clarity,fx_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_fx_clarity,strong_and_clear_fx_clarity,fx_clarity_not_obvious_in_clip,adjust_fx_and_boost_clarity,auto_generated_fx_clarity_metric
VPR-0102,fx_impact,fx_impact_for_viral_potential_evaluation,critical,both,weak_or_inconsistent_fx_impact,strong_and_clear_fx_impact,fx_impact_not_obvious_in_clip,adjust_fx_and_boost_impact,auto_generated_fx_impact_metric
VPR-0103,fx_memorability,fx_memorability_for_viral_potential_evaluation,high,both,weak_or_inconsistent_fx_memorability,strong_and_clear_fx_memorability,fx_memorability_not_obvious_in_clip,adjust_fx_and_boost_memorability,auto_generated_fx_memorability_metric
VPR-0104,fx_originality,fx_originality_for_viral_potential_evaluation,medium,both,weak_or_inconsistent_fx_originality,strong_and_clear_fx_originality,fx_originality_not_obvious_in_clip,adjust_fx_and_boost_originality,auto_generated_fx_originality_metric
VPR-0105,transition_clarity,transition_clarity_for_viral_potential_evaluation,high,both,weak_or_inconsistent_transition_clarity,strong_and_clear_transition_clarity,transition_clarity_not_obvious_in_clip,refine_transition_execution_and_boost_clarity,auto_generated_transition_clarity_metric
